Parent,Region,Organization,County,Mission/Goals,,Website,Contact Person,Email,Phone,xpos,ypos
Regional Planning Initiative,8,Southwest Indiana Area Health Education Center (Daviess),Daviess,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,615.3756306,1373.843395
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Dubois),Dubois,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,933.0142868,1088.410609
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Gibson),Gibson,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,774.2606991,1008.739041
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Knox),Knox,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,530.8769643,1296.950853
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Perry),Perry,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,706.4722392,1092.954664
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Pike),Pike,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,942.0813362,1017.98052
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Posey),Posey,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,940.065923,1152.632211
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Spencer),Spencer,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,689.4730624,1222.409769
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Vanderburgh),Vanderburgh,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,584.8056795,1201.783028
Regional Planning Initiative,11,Southwest Indiana Area Health Education Center (Warrick),Warrick,"The mission of the Indiana AHEC Network is to improve health by recruiting, educating and retaining healthcare professionals for underserved communities in Indiana.",,http://www.usi.edu/health/swiahec/,Jane Friona,jefriona@usi.edu,812-461-5446,847.7875423,1191.484618
Regional Planning Initiative,11,Growth Alliance for Greater Evansville,Vanderburgh,"The Growth Alliance for Greater Evansville's mission is to drive and support economic development activities that provide positive economic impact and sustainable growth: through attraction and expansion of investment and new jobs, retention of existing jobs, and incubation of new innovation-based businesses in the City of Evansville and Vanderburgh County, Indiana.",,http://www.growthallianceevv.com/,,,812-401-4243,714.0056366,1144.376732
Regional Planning Initiative,11,Southwest Indiana Development Council (Dubois),Dubois,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,823.791054,1138.934278
Regional Planning Initiative,11,Southwest Indiana Development Council (Gibson),Gibson,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,741.2219673,1058.715347
Regional Planning Initiative,11,Southwest Indiana Development Council (Knox),Knox,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,657.8846612,1271.945003
Regional Planning Initiative,11,Southwest Indiana Development Council (Perry),Perry,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,556.4086999,1252.492077
Regional Planning Initiative,11,Southwest Indiana Development Council (Pike),Pike,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,628.8464088,1042.723559
Regional Planning Initiative,11,Southwest Indiana Development Council (Posey),Posey,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,613.0729367,1158.432618
Regional Planning Initiative,11,Southwest Indiana Development Council (Spencer),Spencer,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,741.576281,1177.654799
Regional Planning Initiative,11,Southwest Indiana Development Council (Warrick),Warrick,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,747.6382953,965.9027712
Regional Planning Initiative,11,Southwest Indiana Development Council (Vanderburgh),Vanderburgh,"SWIDC is an economic development organization comprised of representatives from the nine counties in Southwest Indiana. WIDC members include representatives of local economic development organizations and Chambers of Commerce in each county as well as other interested groups such as universities, utilities, public officials and private industry. Members contribute time and money to further the joint economic development goals in the Southwest Indiana region. By pooling resources and ideas, SWIDC is able to effectively and economically promote Southwest Indiana to companies interested in expansion or relocation.",,www.swidc.org,Alvin Evans,Not Readily Available,812.547.8377,666.0507829,999.5626872
Regional School Age Program,11,Evansville Afterschool Coalition,Vanderburgh,"IAN engages cities and regions in creating coordinated systems to expand out-of-school time learning for K-12 youth in Indiana. These community coalitions connect youth programs, schools and universities, faith based groups, and civic and businesses. IAN uses coalition-building frameworks developed by the Columbus Education Coalition / Institute for Coalition Building and the Wallace Foundation.",,http://www.indianaafterschool.org/state/regional-coalitions/,,,,42.41619364,41.88158463
Regional Planning Initiative,11,I-69 Innovation Corridor (Dubois),Dubois,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,861.7021325,1046.085632
Regional Planning Initiative,11,I-69 Innovation Corridor (Gibson),Gibson,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,601.7906762,1122.17863
Regional Planning Initiative,11,I-69 Innovation Corridor (Knox),Knox,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,838.2211769,1080.26695
Regional Planning Initiative,11,I-69 Innovation Corridor (Perry),Perry,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,824.8715313,1106.169584
Regional Planning Initiative,11,I-69 Innovation Corridor (Pike),Pike,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,858.3868307,990.2561926
Regional Planning Initiative,11,I-69 Innovation Corridor (Posey),Posey,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,766.3377316,929.7994898
Regional Planning Initiative,11,I-69 Innovation Corridor (Spencer),Spencer,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,610.2068312,1084.672625
Regional Planning Initiative,11,I-69 Innovation Corridor (Warrick),Warrick,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,1020.571036,1117.863936
Regional Planning Initiative,11,I-69 Innovation Corridor (Vanderburgh),Vanderburgh,Regional initiative focused on driving transformational change in southwest Indiana by creating a culture and environment supportive of innovative capacity,,http://i-69innovationcorridor.com/,,,,772.2048799,1238.996657
,,,,,,,,,,626.974865,766.5458012
